,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
238,30,4,2,2,0,349,0,0,0,12,1,180,3,-1,0,0,0
239,29,9,2,1,0,110,1,0,0,13,0,1036,1,-1,0,0,1
240,31,7,1,1,0,288,0,0,0,30,4,164,1,-1,0,0,0
241,39,0,1,1,0,186,1,0,0,14,5,114,2,-1,0,0,0
242,38,9,2,1,0,565,1,0,0,30,0,1143,1,-1,0,0,1
243,58,9,1,3,0,-509,0,1,0,8,5,239,1,-1,0,0,0
244,31,4,1,2,0,40,0,0,0,2,3,118,2,-1,0,0,0
245,54,1,2,1,0,40,1,0,0,18,5,172,2,-1,0,0,0
246,63,3,1,0,0,91,0,0,1,26,1,128,3,-1,0,0,1
247,36,10,2,2,0,221,0,0,0,3,3,225,4,-1,0,0,0
248,23,0,2,1,0,40,0,0,1,10,9,1239,1,-1,0,0,0
249,34,1,1,2,0,20,0,0,2,4,10,10,1,-1,0,0,0
250,55,1,1,0,0,431,1,0,2,12,8,68,2,-1,0,0,0
251,42,1,1,1,0,0,1,0,0,25,5,184,2,-1,0,0,0
252,32,1,1,3,0,1267,1,0,0,18,8,66,2,-1,0,0,0
253,51,10,0,1,0,-56,1,0,0,19,9,544,3,-1,0,0,0
254,24,8,2,2,0,235,0,0,0,9,9,118,1,-1,0,0,1
255,45,1,1,0,0,-455,1,1,0,31,5,161,2,-1,0,0,0
256,36,7,1,1,0,143,1,1,2,5,8,350,1,-1,0,0,0
257,32,4,2,2,0,0,0,0,0,27,1,121,2,-1,0,0,0
258,30,10,0,1,0,1144,1,0,2,6,8,252,1,-1,0,0,0
259,49,9,0,1,0,-96,0,1,0,12,1,252,3,-1,0,0,0
260,36,9,1,2,0,62,0,0,0,23,5,66,2,-1,0,0,0
261,30,8,2,1,0,2046,0,0,1,10,1,133,1,-1,0,0,0
262,35,0,1,1,0,421,1,0,0,18,9,350,1,-1,0,0,0
263,30,6,1,1,0,0,0,0,0,12,1,297,3,-1,0,0,0
264,41,4,2,1,0,911,0,0,0,6,1,292,2,-1,0,0,0
265,30,9,2,1,0,700,1,0,0,12,1,73,2,-1,0,0,0
266,35,4,1,2,0,925,0,0,0,8,6,200,4,-1,0,0,1
267,22,7,2,1,0,236,1,0,0,18,8,236,2,-1,0,0,0
268,31,1,2,0,0,528,1,0,0,17,5,143,1,-1,0,0,0
269,47,1,1,1,0,1449,0,0,0,4,1,322,1,-1,0,0,0
270,25,10,1,1,0,1404,1,0,0,2,9,85,2,-1,0,0,0
271,43,9,2,1,0,1462,0,0,2,9,6,75,2,-1,0,0,0
272,37,4,1,2,0,586,1,0,0,11,5,141,2,-1,0,0,0
273,30,0,1,2,0,285,0,0,0,5,3,693,2,-1,0,0,0
274,42,0,1,1,0,208,1,0,2,27,8,75,2,-1,0,0,0
275,35,4,1,2,0,-126,0,0,0,22,1,82,2,-1,0,0,0
276,38,10,1,0,0,1147,1,1,2,8,8,249,5,-1,0,0,0
277,53,1,1,0,0,1100,1,0,2,17,6,714,2,-1,0,0,0
278,45,5,2,1,1,86,0,0,0,21,9,64,5,-1,0,0,0
279,51,3,0,2,0,1613,0,0,0,4,1,870,1,-1,0,0,1
280,41,9,1,1,0,640,0,0,0,28,5,169,6,-1,0,0,0
281,49,5,0,1,0,224,0,1,0,31,5,79,4,-1,0,0,0
282,59,5,0,1,0,0,0,0,2,20,6,13,5,-1,0,0,0
283,34,7,1,1,0,-68,1,0,2,9,8,122,1,-1,0,0,0
284,53,0,0,1,0,28,1,1,0,12,8,673,4,-1,0,0,0
285,35,1,1,1,0,499,1,0,2,20,8,328,1,-1,0,0,0
286,31,4,2,1,0,301,1,0,2,6,8,82,1,-1,0,0,0
287,50,1,1,0,0,82,0,0,1,5,0,456,1,-1,0,0,1
288,35,0,1,1,0,216,1,1,0,17,9,70,3,-1,0,0,0
289,29,7,2,1,0,153,0,0,0,15,5,734,2,-1,0,0,0
290,42,0,1,1,0,101,1,0,2,6,8,32,3,-1,0,0,0
291,37,8,1,3,0,0,0,0,2,18,6,115,1,-1,0,0,0
292,45,0,1,1,0,1214,1,0,0,28,5,118,2,-1,0,0,0
293,43,7,1,1,0,3305,1,0,0,17,9,387,1,-1,0,0,0
294,32,4,2,2,0,586,1,0,0,19,9,158,4,-1,0,0,0
295,22,8,2,1,0,562,1,0,0,5,8,147,1,-1,0,0,0
296,36,9,2,1,0,1832,1,0,2,8,8,154,1,-1,0,0,0
297,32,9,2,2,0,632,0,1,0,6,1,103,2,-1,0,0,0
298,35,9,1,1,0,700,1,0,2,23,8,240,2,-1,0,0,0
299,29,1,1,0,0,5,1,1,1,21,5,53,1,-1,0,0,0
300,23,0,1,1,0,299,1,0,2,19,6,104,1,-1,0,0,0
301,34,9,1,1,0,550,0,1,0,9,5,601,1,-1,0,0,0
302,37,4,0,2,0,0,1,0,0,11,8,217,6,-1,0,0,0
303,26,1,2,0,0,-35,0,0,0,16,5,243,1,-1,0,0,0
304,31,2,2,3,0,301,1,0,0,4,3,371,1,-1,0,0,0
305,31,9,2,1,0,49,1,0,0,7,5,234,1,-1,0,0,0
306,34,9,2,1,0,1087,0,0,2,1,6,7,1,-1,0,0,0
307,37,9,1,1,0,511,1,0,2,13,8,232,4,-1,0,0,0
308,34,4,2,1,0,1995,1,0,0,20,9,129,2,-1,0,0,0
309,60,9,1,1,0,294,0,0,1,3,6,206,4,-1,0,0,1
310,39,1,1,0,0,694,1,0,0,21,9,44,1,-1,0,0,0
311,55,4,1,2,0,0,0,0,0,6,1,341,2,-1,0,0,0
312,40,1,1,0,0,1206,0,1,1,16,5,201,5,-1,0,0,0
313,51,0,0,1,0,115,1,1,2,8,8,136,1,-1,0,0,0
314,29,1,1,0,0,25,1,0,2,4,6,188,2,-1,0,0,0
315,46,4,0,2,0,2166,1,0,0,23,5,870,1,-1,0,0,1
316,38,9,1,1,0,0,0,0,0,28,1,82,4,-1,0,0,0
317,53,1,1,1,0,-102,1,0,0,11,8,52,2,-1,0,0,0
318,56,1,1,1,0,249,1,0,2,29,8,791,2,-1,0,0,1
319,33,0,2,2,0,867,1,0,0,14,0,247,1,-1,0,0,0
320,33,4,0,2,0,433,0,0,0,21,1,575,4,-1,0,0,0
321,28,7,2,1,0,-358,1,0,2,26,8,253,2,-1,0,0,0
322,25,9,2,1,0,-55,1,1,0,7,5,242,1,-1,0,0,0
323,26,9,2,2,0,1274,0,0,1,29,4,475,2,-1,0,0,0
324,59,0,0,1,0,1525,0,0,1,29,5,90,2,-1,0,0,0
325,39,9,2,2,0,434,1,0,0,28,4,169,2,-1,0,0,0
326,32,1,2,1,0,623,1,0,0,20,0,539,4,-1,0,0,0
327,41,4,1,2,0,371,0,0,0,9,3,107,5,-1,0,0,0
328,44,7,0,1,0,2416,1,0,2,14,8,304,3,-1,0,0,0
329,42,1,1,1,0,1958,1,0,2,30,8,124,3,-1,0,0,0
330,45,9,1,1,0,2269,1,0,0,18,9,233,1,-1,0,0,0
331,54,5,0,1,0,1483,1,1,0,8,8,53,2,-1,0,0,0
332,27,2,1,1,0,220,1,0,2,19,8,480,1,-1,0,0,0
333,45,11,1,0,0,586,1,0,1,21,5,90,3,-1,0,0,0
334,51,7,1,1,0,209,0,0,2,12,6,93,1,-1,0,0,0
335,44,9,1,1,0,398,1,0,2,28,8,140,5,-1,0,0,0
336,37,9,2,1,0,1012,1,0,0,20,0,218,4,-1,0,0,0
337,33,1,1,1,0,3259,1,0,2,20,8,182,1,-1,0,0,0
338,31,6,2,2,0,2589,0,0,0,21,9,614,1,-1,0,0,1
339,33,0,1,1,0,21,0,0,2,6,8,189,3,-1,0,0,0
340,33,3,1,0,0,167,0,0,0,21,1,141,2,-1,0,0,0
341,34,9,1,2,0,2656,1,0,0,24,5,302,1,-1,0,0,0
342,34,6,2,2,0,366,1,0,0,8,8,348,4,-1,0,0,0
343,31,9,2,2,0,491,1,0,2,8,8,237,1,-1,0,0,0
344,30,0,2,1,0,72,0,0,0,3,3,86,2,-1,0,0,0
345,36,9,0,1,0,3296,1,0,0,17,9,130,1,-1,0,0,0
346,48,0,1,1,0,1208,0,0,1,18,9,126,4,-1,0,0,0
347,36,4,2,2,0,891,1,0,2,29,8,233,5,-1,0,0,0
348,40,4,1,2,0,185,0,0,0,21,1,310,2,-1,0,0,0
349,40,10,1,1,0,488,1,0,0,31,5,222,4,-1,0,0,0
350,43,1,0,1,0,688,1,0,0,14,8,149,3,-1,0,0,0
351,27,9,2,1,0,439,1,0,0,15,0,1038,2,-1,0,0,1
352,30,0,0,1,0,4,0,0,0,8,5,61,3,-1,0,0,0
353,58,0,1,1,0,1686,0,0,0,4,1,110,2,-1,0,0,0
354,55,1,1,0,0,-1217,1,0,0,19,1,242,4,-1,0,0,0
355,36,9,1,1,0,30,0,0,0,27,1,111,2,-1,0,0,0
356,33,1,1,0,0,925,0,0,0,20,9,884,3,-1,0,0,0
357,36,4,1,2,0,753,0,0,0,16,0,76,4,-1,0,0,0
358,40,9,1,2,0,2946,0,0,2,9,6,78,2,-1,0,0,0
359,40,9,1,2,0,1554,0,0,0,30,4,99,1,-1,0,0,0
360,37,0,0,1,0,-165,1,0,2,3,6,48,2,-1,0,0,0
361,40,0,2,1,0,576,1,1,0,20,0,114,3,-1,0,0,0
362,56,1,1,0,0,2324,1,0,1,19,1,132,4,-1,0,0,0
363,50,1,1,0,0,-98,0,1,0,8,1,550,2,-1,0,0,0
364,29,1,2,1,0,309,1,0,0,11,8,471,3,-1,0,0,0
365,56,4,0,2,0,408,1,0,2,27,8,274,1,-1,0,0,0
366,41,4,1,2,0,-195,0,1,0,20,9,112,1,-1,0,0,0
367,44,4,0,2,0,1379,1,0,2,30,8,119,1,-1,0,0,0
368,48,1,1,3,0,617,1,0,0,11,1,33,2,-1,0,0,0
369,49,1,1,1,0,1060,0,1,0,31,5,137,6,-1,0,0,0
370,40,0,0,1,0,90,1,0,2,9,6,511,5,-1,0,0,0
371,33,9,0,1,0,22,0,0,0,29,1,71,2,-1,0,0,0
